WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((73262.58 411950.082,73262.655 411950.355,73261.066 411950.799,73261.004 411950.532,73262.58 411950.082))","0580100000239966",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000239966,"1917",Pand in gebruik,,,,"0",pand.f8f59d18-c086-40fb-aae8-82aa8f848344
"POLYGON ((73618.441 412140.564,73623.047 412136.375,73627.819 412141.621,73623.213 412145.81,73618.441 412140.564))","0580100000243436",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243436,"1959",Pand in gebruik,woonfunctie,"79","79","1",pand.a819423b-64cf-459a-aad0-83b33559ec37
"POLYGON ((73710.532 412176.71,73714.802 412181.481,73709.441 412186.28,73705.171 412181.509,73710.532 412176.71))","0580100000243437",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243437,"1954",Pand in gebruik,woonfunctie,"79","79","1",pand.abbf57a3-d419-4a73-b142-84d49d1b1538
"POLYGON ((73702.258 412167.467,73706.395 412172.089,73701.034 412176.888,73699.275 412174.922,73696.897 412172.266,73702.258 412167.467))","0580100000243438",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243438,"1954",Pand in gebruik,woonfunctie,"79","79","1",pand.a9043b16-ce8d-4e95-bbba-d301ca20a918
"POLYGON ((73693.984 412158.224,73698.121 412162.845,73692.76 412167.644,73690.692 412165.334,73688.623 412163.023,73693.984 412158.224))","0580100000243439",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243439,"1954",Pand in gebruik,woonfunctie,"79","79","1",pand.4a2679c0-9758-4e1e-bf31-9c7f999ce4ac
"POLYGON ((73689.847 412153.602,73693.984 412158.224,73688.623 412163.023,73684.486 412158.401,73689.847 412153.602))","0580100000243440",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243440,"1954",Pand in gebruik,woonfunctie,"79","79","1",pand.2f3df211-3a17-4a33-9eea-a70295932d80
"POLYGON ((73681.573 412144.359,73685.71 412148.98,73680.349 412153.779,73676.212 412149.158,73681.573 412144.359))","0580100000243441",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243441,"1954",Pand in gebruik,woonfunctie,"79","79","1",pand.918cffe9-21a2-4f59-8b97-d5b4781ff4a6
"POLYGON ((73718.297 412129.601,73711.957 412133.058,73708.314 412126.377,73714.654 412122.92,73718.297 412129.601))","0580100000243442",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243442,"1955",Pand in gebruik,woonfunctie,"96","96","1",pand.3ed46e3a-8e60-4659-9220-aadeda64d514
"POLYGON ((73715.505 412139.563,73721.845 412136.106,73725.392 412142.611,73719.053 412146.068,73715.505 412139.563))","0580100000243443",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243443,"1955",Pand in gebruik,woonfunctie,"96","96","1",pand.6d13316e-c8b1-4d00-a60a-9a20c78dbd0b
"POLYGON ((73719.053 412146.068,73725.392 412142.611,73728.94 412149.116,73722.6 412152.573,73719.053 412146.068))","0580100000243444",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243444,"1955",Pand in gebruik,woonfunctie,"96","96","1",pand.395597c7-d306-4a62-9c8f-7278afb5fc64
