WKT,identificatie,rdf_seealso,bouwjaar,status,gebruiksdoel,oppervlakte_min,oppervlakte_max,aantal_verblijfsobjecten,fuuid
"POLYGON ((4.21280399562301 51.6927272994091,4.2127907255231 51.692730887912,4.2127677437069 51.692697945391,4.21275522322438 51.6926793468237,4.21281420111031 51.6926640271764,4.21280368662967 51.6926483882309,4.21285047589745 51.6926362274373,4.21286129708973 51.6926523099297,4.21290462049356 51.6926410492493,4.21293901974115 51.6926921837026,4.21280399562301 51.6927272994091))","0580100000244141",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244141,"1935",Pand in gebruik,woonfunctie,"115","115","1",pand.e9f8946d-bb66-4512-9cf6-4bfa3adae189
"POLYGON ((4.20847638618945 51.6921351976622,4.20855026473513 51.6921198053924,4.20859356182681 51.69220006617,4.20851968316433 51.6922154584667,4.20847638618945 51.6921351976622))","0580100000241892",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241892,"1981",Pand in gebruik,woonfunctie,"83","83","1",pand.7aa09ab3-aa96-443e-93f3-838d594aee93
"POLYGON ((4.20840057742411 51.6919182687821,4.20852763218824 51.6918915099084,4.20855263173803 51.6919373642613,4.20842557685945 51.6919641231616,4.20840057742411 51.6919182687821))","0580100000241893",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000241893,"1981",Pand in gebruik,woonfunctie,"83","83","1",pand.b78779ec-64b3-4775-b9bc-1ca838beb0fc
"POLYGON ((4.20481270033889 51.6926213368086,4.20472071397082 51.6925181816396,4.20481775983176 51.6924847683296,4.20486375304082 51.6925363458854,4.2049010593274 51.6925234992245,4.20497129248812 51.6926022803838,4.20489792044857 51.6926275457862,4.20487368066202 51.6926003421351,4.20483076959021 51.6926151188416,4.20481270033889 51.6926213368086))","0580100000244554",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244554,"1992",Pand in gebruik,woonfunctie,"193","193","1",pand.4ce97bc8-4d7b-4498-93bd-ff9285e92195
"POLYGON ((4.21180016572997 51.6912581215143,4.21185105084467 51.6912402490799,4.21190626658575 51.6913145604392,4.21185674739038 51.6913333005898,4.21180016572997 51.6912581215143))","0580100000244142",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244142,"1925",Pand in gebruik,,,,"0",pand.b7ea74b2-9466-4673-ba8e-8f32219dd4f0
"POLYGON ((4.2121836297896 51.6933457165703,4.21219768906679 51.6933563031903,4.21215152554473 51.6933799763117,4.21213746627108 51.6933693896862,4.2121836297896 51.6933457165703))","0580100000244143",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244143,"1955",Pand in gebruik,,,,"0",pand.d3efbf9e-0e87-4cfd-84ce-5a6c0bdf7ae2
"POLYGON ((4.2121836297896 51.6933457165703,4.21213746627108 51.6933693896862,4.21210958913938 51.6933483896487,4.21215575265089 51.6933247165438,4.2121836297896 51.6933457165703))","0580100000244144",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244144,"1955",Pand in gebruik,,,,"0",pand.5ba804a7-c216-4f96-8410-21e76279d6bd
"POLYGON ((4.21207401252946 51.6932685403007,4.21202788843105 51.6932929239237,4.21200974717919 51.6932796714474,4.21205587127375 51.6932552878315,4.21207401252946 51.6932685403007))","0580100000244145",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244145,"1955",Pand in gebruik,,,,"0",pand.bf565d11-5e70-4a64-906b-5ea6884b7167
"POLYGON ((4.21207520413729 51.6930222274283,4.21210833726894 51.693014055994,4.21212275041656 51.6930366289131,4.21208960281032 51.6930448002064,4.21207520413729 51.6930222274283))","0580100000244146",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000244146,"1955",Pand in gebruik,,,,"0",pand.ddf7fb73-f87d-4668-b5c5-226d5b290178
"POLYGON ((4.2160275791227 51.6944102300586,4.2159400660952 51.6943477063329,4.21603276435262 51.6942971156801,4.21600162801923 51.6942750861847,4.21602397369347 51.6942628864343,4.21603593577821 51.6942712762036,4.2160552565009 51.6942848454741,4.2161229694132 51.6943327612959,4.2161216784629 51.694333458542,4.21610278067898 51.6943437780672,4.21612336312273 51.6943583397753,4.21605262900157 51.6943969426714,4.21605499976996 51.6944059376939,4.21604195636141 51.6944130526365,4.21602875299219 51.6944095855785,4.2160275791227 51.6944102300586))","0580100000243663",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243663,"1916",Pand in gebruik,woonfunctie,"142","142","1",pand.4d0eec6e-b32c-4848-ac98-9010206cd937
"POLYGON ((4.21617989256904 51.6920166182298,4.21618740689035 51.6920219161453,4.2162195585826 51.6920041062075,4.21624427044297 51.692021145292,4.21621071652925 51.6920383659014,4.21610799853229 51.6920945826633,4.21617062636658 51.6921387800092,4.21607799589756 51.6921891646741,4.21600931688323 51.6921406997747,4.21605256967595 51.6921170320025,4.21602897596727 51.6921003816097,4.21617989256904 51.6920166182298))","0580100000243664",http://bag.basisregistraties.overheid.nl/bag/id/pand/0580100000243664,"1968",Pand in gebruik,woonfunctie,"162","162","1",pand.ab321cde-43fe-4c2e-a3dc-a6e0f316f8ac
